Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score
27,79,High,High,6,90,Yes,3,Medium,High,4,High School,Near,73
18,71,Medium,Medium,7,72,Yes,0,Low,Medium,4,High School,,63
26,66,Medium,Medium,7,67,Yes,3,Medium,Medium,4,High School,Moderate,66
24,60,Medium,Medium,10,60,Yes,3,Low,High,2,Postgraduate,Near,65
34,81,Medium,Medium,9,82,Yes,1,Medium,High,2,High School,Near,71
11,64,Medium,Low,8,67,No,1,Medium,Medium,2,College,Near,58
28,76,Medium,Medium,9,91,Yes,0,Low,High,3,High School,Moderate,68
27,84,Medium,Medium,8,98,Yes,0,Low,Medium,4,High School,Moderate,69
14,71,High,Low,6,61,Yes,0,Low,Medium,3,Postgraduate,Near,63
26,67,Medium,Medium,8,56,Yes,1,Medium,Medium,5,College,Near,66
22,91,Medium,Medium,7,66,No,0,High,High,3,College,Near,69
19,98,Medium,Low,6,73,Yes,3,Low,Medium,3,College,Near,69
15,64,High,Medium,9,65,Yes,2,Medium,Medium,2,High School,Near,63
16,66,Low,High,7,99,Yes,1,Low,Medium,3,College,Near,65
32,98,Low,High,5,89,Yes,2,High,Low,3,College,Near,76
20,62,High,Medium,6,98,Yes,0,High,High,3,Postgraduate,Near,67
25,99,Low,Medium,8,69,No,1,Low,High,3,Postgraduate,Moderate,70
15,60,Medium,Low,9,65,Yes,1,Medium,High,5,College,Moderate,60
15,95,High,Low,8,70,Yes,2,High,High,3,High School,Near,68
26,72,Medium,Medium,8,76,Yes,1,Medium,Medium,3,Postgraduate,Near,68
12,98,Low,High,6,87,Yes,2,Low,Medium,3,Postgraduate,Near,70
18,73,Medium,High,7,94,Yes,1,High,Medium,3,Postgraduate,Moderate,68
20,86,High,High,7,73,Yes,3,Low,Low,3,High School,Near,69
21,63,Medium,Medium,7,64,Yes,0,Low,Medium,3,High School,Near,62
19,70,High,Low,7,66,Yes,1,High,Low,4,College,Moderate,64
22,91,High,Medium,6,85,Yes,2,Medium,Medium,2,High School,Moderate,71
24,81,Medium,Medium,8,78,Yes,1,Low,Medium,2,High School,Near,68
24,97,High,Medium,5,74,Yes,0,Medium,Low,5,High School,Near,72
14,77,Medium,Medium,5,60,Yes,1,High,High,3,Postgraduate,Far,64
18,95,Medium,High,6,94,Yes,6,Low,High,3,High School,Far,73
27,78,Medium,High,8,89,Yes,0,Low,Medium,3,Postgraduate,Near,69
25,99,Low,Medium,8,57,Yes,1,Medium,Low,3,Postgraduate,Moderate,70
12,98,Medium,High,4,68,Yes,3,Low,High,2,High School,Near,69
22,73,Medium,Low,8,77,Yes,1,High,Medium,3,High School,Far,64
8,95,Medium,Medium,7,73,Yes,2,Medium,Medium,2,College,Near,66
20,94,Medium,Medium,6,70,Yes,1,Medium,Medium,2,High School,Moderate,69
31,68,High,Medium,7,86,Yes,1,Low,Medium,3,High School,Moderate,68
14,85,Medium,Low,5,53,Yes,4,Medium,Medium,3,High School,Near,65
15,63,High,Low,7,74,Yes,4,Low,Medium,2,High School,Moderate,62
25,93,High,High,5,63,Yes,2,High,Medium,2,Postgraduate,Near,75
11,67,Medium,Medium,6,54,Yes,0,Low,Medium,3,High School,Near,60
16,63,Medium,High,6,73,Yes,0,Medium,Medium,4,College,Near,63
24,76,Medium,Low,8,59,Yes,2,Medium,Medium,4,College,Far,66
16,83,High,Medium,7,63,Yes,0,Medium,Medium,3,Postgraduate,Near,67
19,94,Low,Medium,8,75,Yes,1,Medium,Medium,3,College,Moderate,68
24,99,Medium,Medium,5,99,Yes,0,Low,Medium,3,High School,Moderate,72
23,78,Low,Medium,7,84,Yes,0,Low,Medium,3,College,Near,66
22,62,Medium,Medium,8,64,Yes,0,Low,Medium,3,Postgraduate,Near,63
18,90,Medium,High,9,69,Yes,1,High,High,3,College,Moderate,71
22,83,Low,Medium,5,70,Yes,2,Low,Medium,3,College,Far,67
19,78,Medium,Medium,6,58,Yes,1,Low,Medium,3,Postgraduate,Near,66
23,72,High,Medium,8,58,No,2,Low,High,2,College,Near,66
17,80,High,High,9,57,Yes,4,Low,Medium,2,College,Near,68
19,74,Medium,Medium,7,76,Yes,1,High,Medium,3,College,Near,66
14,90,High,Medium,5,84,Yes,0,Low,Medium,3,Postgraduate,Near,68
20,82,High,Medium,5,80,Yes,3,Low,Medium,1,College,Near,68
15,95,Low,Medium,7,99,Yes,0,High,High,2,High School,Near,68
13,82,Medium,High,8,56,Yes,2,Low,High,3,Postgraduate,Near,66
22,70,High,Low,7,99,Yes,1,Low,High,2,High School,Moderate,66
21,94,Medium,High,5,73,Yes,0,Medium,High,3,Postgraduate,Far,70
25,82,High,Medium,9,61,Yes,1,High,Medium,2,High School,Near,68
17,68,Medium,Medium,6,97,Yes,2,High,Low,3,High School,Moderate,65
22,85,Low,High,8,73,Yes,1,Medium,Medium,3,College,Near,70
23,74,Medium,Medium,4,67,Yes,3,High,Medium,5,High School,Far,66
23,94,Medium,High,9,61,No,0,Medium,Medium,1,Postgraduate,Moderate,68
15,78,Medium,Medium,6,63,Yes,1,Medium,Medium,2,College,Moderate,64
21,89,Medium,Medium,9,99,Yes,0,Medium,Medium,3,High School,Near,69
22,64,Medium,Medium,8,65,Yes,2,Medium,Medium,4,Postgraduate,Near,65
20,76,Medium,High,5,99,No,3,Medium,High,3,Postgraduate,Near,69
7,99,Low,High,7,67,No,1,High,High,4,High School,Near,66
21,92,High,Low,9,62,Yes,1,Medium,Low,2,High School,Near,68
33,66,Medium,Medium,6,59,Yes,3,High,Medium,2,Postgraduate,Near,70
18,71,High,Medium,9,71,Yes,1,Medium,High,3,High School,Moderate,65
16,73,High,Medium,8,62,Yes,0,High,High,2,High School,Near,65
22,86,Medium,Low,9,85,Yes,1,Medium,Medium,3,Postgraduate,Near,68
22,90,Low,Medium,7,62,Yes,0,Medium,Medium,3,College,Near,67
27,90,High,High,7,92,Yes,0,Low,Medium,3,High School,Near,72
12,80,High,High,10,92,Yes,1,High,High,3,Postgraduate,Moderate,70
24,92,Low,High,8,64,Yes,1,High,High,3,College,Near,72
24,77,High,High,7,88,Yes,1,High,Medium,5,College,Near,71
19,65,Low,Medium,8,93,Yes,1,Medium,High,4,College,Near,64
22,83,Low,High,6,80,Yes,2,Medium,Medium,5,High School,Moderate,69
26,98,Medium,Medium,7,68,Yes,4,Low,Medium,1,High School,Near,73
25,92,Low,High,9,72,Yes,1,Low,Medium,5,Postgraduate,Far,70
13,83,High,Medium,7,89,Yes,1,Low,Medium,4,Postgraduate,Near,68
25,86,High,Medium,6,65,Yes,2,Medium,High,5,High School,Moderate,71
20,97,Medium,High,6,67,Yes,1,Low,High,3,Postgraduate,Near,71
20,77,Low,High,7,58,Yes,0,High,Medium,3,High School,Near,66
20,73,Medium,High,6,70,Yes,3,High,High,4,High School,Near,68
19,99,Medium,High,5,54,Yes,0,Medium,Medium,2,Postgraduate,Near,70
27,95,Medium,Medium,5,66,Yes,3,Medium,Medium,4,High School,Near,72
19,73,Low,High,9,69,Yes,1,Low,Low,4,Postgraduate,Near,66
13,79,Medium,High,7,63,No,3,High,Medium,2,High School,Near,65
18,77,Medium,High,7,55,No,3,High,Medium,3,High School,Near,66
21,66,High,Medium,6,76,Yes,3,Low,Medium,1,High School,Moderate,65
27,98,High,Low,6,93,Yes,0,Low,Medium,4,High School,Moderate,72
24,76,Medium,Medium,6,67,Yes,2,High,Medium,3,College,Near,68
15,95,Medium,Medium,7,62,Yes,0,High,Medium,3,College,Near,68
35,68,Low,High,5,64,Yes,0,High,Low,4,High School,Near,67
22,82,Medium,Medium,9,93,Yes,2,Low,Medium,2,High School,Near,68
28,61,High,Medium,7,76,Yes,1,Medium,High,4,High School,Moderate,67
19,91,Medium,High,7,57,Yes,3,High,High,3,High School,Moderate,69
23,83,Low,Low,8,85,Yes,2,Low,Medium,2,High School,Near,65
25,85,Medium,Medium,8,58,Yes,2,Medium,High,4,College,Near,70
27,62,High,Medium,6,53,Yes,1,Medium,Medium,2,High School,Moderate,64
26,68,Medium,Medium,8,63,Yes,2,Low,High,3,High School,Near,66
25,63,Low,Medium,8,58,Yes,1,High,Medium,1,College,Near,64
18,72,High,High,7,80,Yes,1,High,High,2,High School,Moderate,66
17,85,Medium,Medium,9,74,Yes,1,Medium,Medium,2,High School,Near,67
22,83,Medium,Low,8,86,Yes,3,Medium,Low,4,High School,Near,68
26,84,Medium,Medium,8,76,Yes,5,Medium,High,2,High School,Moderate,71
19,82,High,Low,9,71,Yes,1,Low,High,3,College,Near,67
26,71,High,Medium,7,76,Yes,3,Low,Medium,2,Postgraduate,Moderate,69
29,70,Medium,Low,7,72,Yes,1,Medium,Medium,4,College,Near,67
15,65,Low,High,8,52,Yes,4,Low,Medium,3,High School,Moderate,61
15,94,Medium,Medium,7,84,Yes,0,Medium,High,2,High School,Moderate,68
19,85,Low,Low,8,98,Yes,2,Medium,Low,4,High School,Near,67
22,67,Low,Medium,6,71,Yes,1,Medium,High,4,College,Moderate,64
17,67,Medium,Medium,4,71,Yes,3,Medium,High,2,High School,Moderate,63
28,95,Low,Medium,8,52,Yes,3,High,High,4,College,Near,72
23,90,High,Medium,5,95,Yes,2,Low,Medium,2,High School,Moderate,69
20,86,Low,High,6,96,Yes,1,High,Low,2,High School,Far,66
11,76,Medium,Medium,8,91,Yes,1,High,High,3,College,Near,64
12,70,Low,Medium,8,55,Yes,2,Medium,High,4,High School,Near,61
22,99,Medium,High,9,95,Yes,2,Low,Low,4,High School,Near,71
7,92,Low,Medium,4,51,Yes,0,High,Medium,1,High School,Near,63
26,72,Medium,Low,7,72,Yes,2,Medium,Low,4,High School,Near,65
19,94,High,Low,7,75,Yes,2,High,Medium,5,College,Near,71
39,90,High,High,8,92,Yes,2,Medium,High,1,High School,Near,78
34,72,Medium,High,9,88,Yes,1,High,Medium,3,Postgraduate,Near,73
19,77,Low,Medium,5,90,Yes,1,Low,High,3,College,Near,65
19,67,Low,Medium,7,93,Yes,0,Medium,Medium,4,Postgraduate,Near,66
26,64,High,Low,8,74,Yes,3,Medium,High,2,High School,Near,66
30,89,Medium,Medium,6,89,Yes,3,High,Medium,3,Postgraduate,Moderate,74
10,71,Medium,Low,10,53,Yes,4,High,Medium,3,High School,Near,62
9,93,High,Low,6,72,Yes,1,Medium,Medium,2,College,Near,66
16,100,High,High,7,52,Yes,4,Low,Medium,4,High School,Near,71
23,63,High,Medium,5,96,Yes,2,High,Medium,2,High School,Near,67
23,79,High,Low,7,98,Yes,0,Medium,High,4,College,Near,69
26,92,Medium,High,4,54,Yes,2,High,Medium,4,High School,Moderate,72
13,92,High,High,7,77,Yes,2,High,Medium,4,Postgraduate,Near,72
6,90,Medium,Medium,9,66,Yes,2,Medium,High,2,High School,Far,65
25,74,High,High,5,67,Yes,1,Medium,Medium,5,Postgraduate,Near,71
15,78,Medium,Medium,5,73,Yes,0,High,High,1,College,Near,64
8,84,Medium,Low,9,56,Yes,1,Low,Medium,2,High School,Moderate,61
21,99,Medium,Low,9,59,Yes,1,High,High,2,College,Moderate,69
25,73,Low,Medium,5,79,Yes,1,Low,Medium,5,High School,Moderate,65
19,97,Medium,Low,10,51,Yes,3,Low,High,4,College,Far,69
17,71,Medium,Medium,8,80,Yes,2,High,Low,3,High School,Near,64
19,100,Medium,Low,9,66,Yes,1,High,Medium,4,Postgraduate,Moderate,69
18,87,Medium,Medium,6,92,Yes,1,Low,Medium,4,High School,Near,68
12,79,Medium,Low,9,80,Yes,1,High,Medium,2,College,Moderate,63
16,85,Low,Medium,7,85,Yes,1,Medium,High,2,High School,Near,66
23,71,Medium,Medium,7,56,Yes,1,Medium,,4,,Near,65
22,71,High,Medium,8,63,Yes,2,Medium,High,2,High School,Moderate,66
21,65,Medium,Medium,6,100,Yes,3,Medium,Medium,4,Postgraduate,Near,67
14,65,Medium,High,5,72,Yes,3,Low,High,2,High School,Near,62
19,74,Medium,High,7,68,Yes,2,Low,High,2,High School,Near,66
7,91,High,Medium,7,94,No,3,High,Medium,3,Postgraduate,Moderate,68
21,84,Medium,Medium,6,52,Yes,2,High,High,5,High School,Moderate,68
29,64,Low,Medium,9,77,Yes,0,Low,High,2,High School,Moderate,63
11,94,High,Low,10,61,Yes,1,Medium,Low,3,College,Moderate,66
16,84,High,Low,6,68,No,3,Medium,Medium,3,,Near,65
22,98,High,Medium,7,60,Yes,1,High,Medium,1,High School,Near,72
28,87,Medium,Medium,6,52,Yes,4,Low,Low,3,Postgraduate,Near,70
17,67,High,Low,10,71,Yes,1,Medium,Medium,3,High School,Near,63
16,79,Medium,Medium,8,89,Yes,0,Low,High,4,High School,Near,65
8,86,High,Low,8,98,Yes,1,Low,Medium,1,College,Near,65
21,61,High,High,9,81,Yes,1,Medium,Medium,3,Postgraduate,Near,66
32,61,High,Medium,7,69,Yes,0,High,Medium,3,High School,Moderate,68
22,65,Medium,Low,7,88,No,2,Medium,Medium,4,College,Near,64
20,70,High,Medium,9,75,Yes,3,Medium,Medium,4,College,Moderate,66
22,77,Low,Medium,8,68,Yes,3,High,High,4,High School,Moderate,68
20,79,Low,Medium,6,59,Yes,0,Low,Medium,2,High School,Moderate,64
15,66,Medium,Medium,6,90,Yes,2,Medium,Medium,3,College,Far,62
25,87,Medium,Medium,6,75,No,0,Low,Medium,2,High School,Near,67
21,84,Low,High,9,98,Yes,1,Low,Medium,3,High School,Moderate,67
20,72,Medium,Medium,9,90,Yes,1,Medium,Medium,2,Postgraduate,Moderate,65
14,61,Low,Medium,10,71,No,2,Low,Medium,4,High School,Near,59
28,63,Medium,High,6,87,Yes,0,Low,Medium,2,High School,Moderate,66
24,76,High,Low,7,73,Yes,4,Medium,Medium,2,High School,Near,68
17,66,High,Medium,6,54,Yes,2,High,Low,3,High School,Near,63
26,75,Medium,Low,7,76,Yes,2,Medium,Medium,3,College,Near,68
17,85,High,Low,8,93,Yes,2,Medium,High,3,College,Far,68
15,82,Medium,Medium,7,93,Yes,3,Low,High,2,High School,Moderate,66
15,69,High,Low,9,79,Yes,1,Medium,,2,High School,Moderate,63
9,74,Medium,Low,6,69,Yes,3,Low,Medium,2,,Moderate,61
23,85,High,Medium,8,51,Yes,0,High,Low,4,College,Near,68
9,94,High,Low,6,66,Yes,0,Low,High,3,College,Near,66
13,90,Medium,High,4,99,Yes,1,High,Medium,4,College,Moderate,69
8,82,Medium,High,5,86,No,0,Low,Medium,3,Postgraduate,Near,64
19,74,Medium,Medium,7,86,Yes,1,High,Medium,3,Postgraduate,Near,68
19,75,Medium,High,10,88,Yes,0,Low,High,2,High School,Near,66
18,95,Medium,Medium,6,81,Yes,0,Low,Medium,3,High School,Near,68
14,62,Medium,High,7,79,Yes,2,Medium,Medium,2,High School,Moderate,62
13,100,Medium,Low,8,73,Yes,1,Low,Medium,3,Postgraduate,Near,68
23,87,Medium,High,6,72,Yes,1,Low,High,3,College,Moderate,69
17,87,High,High,6,94,Yes,2,Low,Medium,3,High School,Moderate,70
22,62,High,Medium,7,70,Yes,4,Low,Medium,2,College,Near,65
15,84,Low,Medium,6,92,Yes,3,Medium,Medium,3,College,Near,68
21,79,Medium,High,4,92,Yes,0,Low,Medium,2,Postgraduate,Near,67
28,64,Low,Medium,6,89,Yes,0,Low,Low,4,College,Far,64
24,71,Low,Medium,8,52,No,2,Medium,Medium,3,College,,63
18,96,Medium,Low,8,57,Yes,1,Medium,Medium,2,High School,Near,67
22,82,High,Low,9,66,Yes,1,Low,High,3,High School,Moderate,66
19,77,High,Low,9,92,Yes,2,Low,Medium,4,High School,Near,67
20,63,Medium,Medium,6,94,No,2,Medium,Medium,3,High School,Far,63
18,89,Medium,Medium,6,52,Yes,3,High,High,3,High School,Moderate,69
19,88,High,High,6,66,Yes,3,Medium,Medium,2,High School,Near,70
21,85,High,Medium,7,93,Yes,0,High,Medium,4,High School,Moderate,70
14,80,High,Medium,6,62,Yes,0,High,Medium,2,Postgraduate,Near,65
14,77,Low,Low,7,99,Yes,2,Medium,Medium,2,Postgraduate,Moderate,64
12,84,Medium,High,6,74,Yes,1,Medium,High,3,College,Moderate,67
10,69,Low,Medium,8,97,Yes,1,Medium,Medium,3,High School,Near,61
13,98,Medium,High,6,71,Yes,1,Low,High,1,College,Near,70
21,84,High,Low,6,66,Yes,2,High,Medium,4,College,Far,68
15,72,Medium,Medium,8,68,Yes,0,Medium,Medium,2,High School,Near,64
23,78,High,Medium,8,94,Yes,1,High,Medium,2,High School,Moderate,68
20,92,Medium,Low,7,67,Yes,1,Medium,Medium,5,High School,Near,68
8,66,High,High,8,83,Yes,0,Low,Medium,4,College,,63
24,72,Low,Medium,8,73,Yes,1,Low,Medium,2,College,Moderate,65
25,87,Low,Medium,10,97,Yes,4,Low,Low,3,High School,Near,69
14,73,Medium,High,8,58,Yes,2,Low,High,2,College,Moderate,63
23,92,Low,Medium,10,71,Yes,1,Low,Medium,3,College,Near,69
15,65,High,Low,7,56,No,3,High,Medium,3,High School,Near,61
21,91,Low,High,9,79,Yes,2,Low,Medium,3,College,Far,69
12,63,High,Medium,9,70,Yes,1,High,Low,3,College,Near,62
9,61,Low,High,7,53,Yes,0,Medium,Medium,2,Postgraduate,Far,58
18,96,Medium,High,6,92,Yes,2,Medium,Medium,3,High School,Far,71
19,83,High,Low,6,69,Yes,5,Medium,Medium,2,Postgraduate,Far,69
18,74,High,Medium,8,75,Yes,1,High,High,3,Postgraduate,Moderate,68
13,69,Medium,Low,5,70,Yes,0,Medium,High,2,College,Near,61
18,85,High,Medium,6,74,Yes,3,Low,Medium,2,College,Far,67
22,80,Medium,High,9,51,Yes,2,Medium,Medium,3,Postgraduate,Near,68
20,100,Medium,Medium,8,91,Yes,3,Low,Medium,3,High School,Near,72
21,99,High,Low,4,67,Yes,1,Medium,Medium,4,College,Near,71
16,85,Medium,Medium,5,86,No,3,Medium,Medium,2,High School,Near,67
27,78,Medium,Medium,10,53,Yes,3,Medium,Medium,4,Postgraduate,Moderate,68
13,80,Medium,Medium,9,76,Yes,0,High,Medium,2,High School,Near,64
23,87,Medium,High,6,95,Yes,3,High,Medium,0,High School,Near,73
27,64,Low,Medium,5,70,Yes,0,Low,High,4,High School,Near,65
23,73,Low,High,5,60,Yes,1,Medium,Medium,2,Postgraduate,Near,67
19,63,High,Medium,8,55,Yes,0,Medium,Medium,4,College,Moderate,63
17,63,Medium,Medium,10,93,Yes,0,Low,Medium,2,Postgraduate,Near,63
26,68,Medium,Medium,10,62,Yes,4,Medium,Medium,2,Postgraduate,Near,69
11,79,High,High,5,99,Yes,1,High,Low,3,High School,Near,68
14,91,Medium,Medium,7,62,Yes,2,Low,High,2,College,Near,68
18,79,High,High,6,74,Yes,3,Low,Medium,4,High School,Near,69
27,73,High,High,7,73,Yes,5,High,High,3,High School,Near,73
22,63,High,High,5,53,Yes,3,Low,High,2,High School,Near,66
14,82,Medium,Medium,6,77,Yes,3,Medium,Medium,3,College,Near,68
18,71,Medium,Medium,6,84,Yes,2,Medium,Low,2,Postgraduate,Near,65
16,85,Medium,Medium,8,87,Yes,4,Low,Medium,3,High School,Far,67
16,99,Medium,Medium,6,76,Yes,2,Medium,Medium,4,College,Near,70
26,64,Medium,High,6,91,Yes,1,Low,Medium,4,High School,Moderate,66
12,68,Medium,High,8,88,Yes,3,Low,Medium,3,Postgraduate,Moderate,64
30,79,Medium,High,9,60,Yes,1,Low,Medium,3,High School,Near,69
25,99,Low,Medium,10,70,Yes,1,Medium,Medium,5,College,Far,71
27,91,Medium,Low,8,57,Yes,0,Low,Low,4,Postgraduate,Moderate,68
17,96,High,Medium,7,57,Yes,2,Medium,Medium,3,College,Moderate,68
19,73,Low,Medium,9,86,Yes,0,Medium,High,3,College,Near,66
11,100,Low,High,9,77,Yes,2,Medium,High,3,Postgraduate,Near,70
17,64,Medium,High,8,80,Yes,0,High,High,2,Postgraduate,Near,65
23,62,Medium,Low,5,87,Yes,1,Medium,Medium,4,High School,Near,63
28,94,Low,Medium,9,64,Yes,0,Medium,Medium,3,High School,Moderate,70
13,97,Low,Medium,8,70,Yes,0,High,Medium,2,Postgraduate,Moderate,67
18,64,Medium,Medium,6,80,Yes,1,Medium,Medium,5,High School,Near,63
19,65,High,Medium,6,55,Yes,1,Low,High,3,Postgraduate,Moderate,64
12,61,Low,Medium,8,92,Yes,2,High,Medium,4,High School,Moderate,60
24,64,Medium,Medium,4,67,Yes,0,Low,Medium,1,High School,Near,62
16,68,Medium,High,7,83,Yes,2,Low,High,2,High School,Near,65
19,99,Low,Low,6,100,Yes,0,High,Low,3,Postgraduate,Near,69
17,87,Medium,High,6,74,Yes,1,Low,High,3,College,Moderate,68
15,91,Medium,Medium,6,61,No,1,Medium,High,2,High School,Moderate,66
20,91,High,High,5,61,Yes,4,Low,Medium,2,Postgraduate,Near,72
19,81,Medium,High,9,53,Yes,2,High,Medium,3,High School,Near,68
18,92,Medium,Medium,4,88,Yes,3,High,Medium,2,High School,Moderate,69
16,84,Medium,Medium,7,65,Yes,1,High,High,3,High School,Moderate,65
22,73,High,Medium,6,59,Yes,0,Low,Medium,1,High School,Near,65
30,82,Low,Medium,10,86,Yes,2,Low,High,4,High School,Near,70
21,81,Medium,Low,7,65,Yes,1,Medium,Medium,2,College,Moderate,67
26,93,High,Medium,4,80,Yes,4,Low,Medium,3,College,Near,73
12,99,High,High,8,71,Yes,2,Medium,Low,2,College,Near,70
21,76,Medium,Medium,5,67,Yes,1,High,Low,3,High School,Moderate,66
13,91,Medium,Medium,8,74,Yes,1,Low,Medium,1,Postgraduate,Near,68
11,64,Medium,Medium,8,66,Yes,2,Low,Medium,2,College,Moderate,61
16,91,Medium,High,9,94,Yes,0,High,Medium,3,Postgraduate,Near,70
27,75,Medium,Low,7,54,Yes,2,Medium,Medium,3,Postgraduate,Near,66
26,62,High,Medium,8,52,Yes,4,Low,Medium,5,College,Near,67
21,75,High,High,7,70,Yes,1,Medium,High,3,Postgraduate,Near,69
11,84,Medium,Low,6,59,Yes,2,Medium,Medium,3,High School,Near,64
19,65,High,Medium,9,87,Yes,0,High,High,2,College,Moderate,65
22,97,High,Medium,5,68,Yes,7,Medium,High,5,College,Near,75
21,63,High,Medium,7,63,Yes,2,Medium,Medium,2,High School,Far,63
9,97,High,Medium,6,68,Yes,5,Medium,Medium,3,College,Near,69
15,88,Medium,High,8,61,Yes,2,Medium,High,4,High School,Near,68
20,73,Medium,Low,6,65,Yes,2,High,High,2,College,Near,66
23,76,Low,Medium,6,78,Yes,2,High,Medium,2,High School,Moderate,66
7,90,Low,Medium,7,93,Yes,4,Medium,Medium,3,College,Near,66
19,84,Medium,Medium,9,69,Yes,2,Medium,Low,4,College,Near,68
21,87,Low,Medium,6,66,Yes,1,Low,Low,2,High School,Moderate,65
25,76,Medium,High,6,89,Yes,3,Low,Medium,3,College,Near,70
24,80,Medium,High,5,51,Yes,3,High,Low,2,High School,Near,68
23,100,Medium,Medium,6,65,Yes,1,Medium,High,2,High School,Near,70
15,69,Low,Medium,8,73,Yes,2,Medium,Medium,2,High School,Moderate,61
9,77,Low,Low,7,80,Yes,3,Medium,Medium,3,High School,Near,61
18,72,Low,High,7,58,Yes,6,Low,Medium,0,High School,Moderate,64
26,91,Low,Medium,10,72,Yes,4,High,Medium,3,College,Moderate,71
28,91,High,Medium,4,78,Yes,1,Medium,Low,3,High School,Moderate,72
24,72,Medium,High,10,76,No,1,Low,Medium,3,High School,Near,66
23,63,Medium,Medium,9,79,Yes,0,Low,Medium,4,High School,Far,63
22,60,Low,Low,7,83,No,3,Medium,Medium,1,College,Near,62
17,77,Medium,Medium,8,69,Yes,3,High,Medium,3,,Near,65
19,76,Medium,Medium,6,53,Yes,2,Medium,Medium,5,High School,Near,66
30,100,Low,High,7,53,Yes,2,Low,High,3,High School,Moderate,72
14,79,High,Medium,10,93,Yes,2,Medium,Medium,3,College,Near,68
30,70,High,Low,6,84,Yes,2,Medium,Medium,3,Postgraduate,Near,70
18,96,Medium,Medium,7,88,Yes,1,Medium,High,3,High School,Moderate,70
28,80,Medium,High,6,96,Yes,2,Low,Medium,6,High School,Near,73
12,84,Medium,High,6,88,No,2,High,High,2,High School,Near,67
24,64,Medium,Low,6,85,Yes,3,Medium,Medium,2,Postgraduate,Moderate,65
16,75,High,Low,5,83,Yes,1,Medium,High,3,College,Moderate,65
12,98,Low,Medium,7,63,Yes,0,High,Medium,3,High School,Near,65
21,84,Medium,Medium,7,98,Yes,0,Medium,Medium,4,College,Near,70
26,74,Medium,Low,6,77,Yes,3,Medium,Medium,2,High School,Far,66
15,85,Medium,Medium,4,61,Yes,0,Medium,Low,1,College,Near,65
11,96,High,High,7,60,Yes,2,Low,Medium,1,High School,Near,68
19,71,Medium,Medium,7,91,Yes,3,High,Medium,1,High School,Moderate,66
19,80,Low,Medium,10,63,No,1,Medium,Medium,2,College,Near,65
23,98,Medium,High,7,52,Yes,2,Low,High,4,High School,Near,71
26,67,Low,Medium,8,71,Yes,2,High,Medium,3,High School,Near,65
20,89,Low,Medium,6,91,Yes,0,Medium,Medium,4,College,Near,70
31,85,Medium,Medium,9,71,Yes,0,Medium,High,2,College,Moderate,69
21,87,Medium,Medium,6,90,Yes,3,High,Medium,4,High School,Near,71
18,74,Medium,High,8,91,Yes,0,Medium,High,2,High School,Near,67
10,73,Medium,Medium,8,93,Yes,3,Low,Medium,2,,Moderate,64
18,87,Low,Low,8,79,Yes,1,Low,High,4,College,Near,82
18,69,Medium,High,10,85,Yes,2,High,Medium,0,College,Moderate,66
26,77,Low,Medium,6,63,Yes,1,Low,High,4,High School,Near,66
23,68,High,Medium,9,55,Yes,1,Medium,Medium,3,High School,Moderate,65
13,60,Medium,Medium,9,77,Yes,2,Medium,High,5,High School,Near,61
21,99,Medium,High,7,51,Yes,2,Medium,Low,2,Postgraduate,Near,72
24,77,High,Medium,10,73,Yes,3,Medium,Medium,3,High School,Near,70
29,99,Medium,Medium,7,55,Yes,0,Medium,Medium,3,High School,Moderate,71
25,66,High,Medium,7,55,Yes,4,Medium,Medium,2,High School,Moderate,84
25,83,High,High,7,94,Yes,2,Low,High,3,College,Moderate,72
20,68,Medium,High,5,82,No,1,Low,High,3,Postgraduate,Near,67
22,92,High,Low,8,82,Yes,2,Medium,Medium,5,Postgraduate,Near,72
27,91,Low,High,8,70,Yes,1,Medium,Low,6,High School,Moderate,70
12,65,Medium,High,7,71,Yes,1,Low,High,4,High School,Moderate,62
18,96,High,Medium,10,65,Yes,3,Medium,Medium,2,College,Moderate,71
15,68,Low,Medium,6,72,Yes,3,High,Low,3,High School,Near,62
22,85,Medium,Medium,4,79,Yes,1,Low,Low,3,High School,Near,68
27,99,High,Medium,10,59,Yes,2,Low,Medium,3,High School,Near,74
16,95,High,High,9,63,No,0,Medium,Low,3,High School,Near,68
6,98,Medium,Low,8,75,Yes,1,High,Medium,3,Postgraduate,Far,64
18,74,High,Medium,6,69,Yes,0,Low,Medium,4,High School,Moderate,65
25,64,Medium,Low,8,91,Yes,1,Low,Low,5,College,Near,66
23,68,Medium,High,5,91,Yes,5,Low,Medium,1,College,Near,68
23,80,Medium,Medium,7,67,Yes,2,Low,High,4,High School,Near,67
18,92,Medium,Medium,6,73,Yes,1,Medium,High,5,High School,Moderate,67
12,66,Medium,High,7,99,Yes,2,Medium,Low,3,High School,Moderate,63
23,86,Medium,High,8,91,Yes,2,Low,Medium,1,College,Near,71
15,73,Medium,High,5,61,No,1,Low,High,2,Postgraduate,Moderate,63
33,74,Medium,Low,8,64,Yes,0,Medium,Medium,3,High School,Near,66
23,86,High,Medium,7,54,Yes,2,Medium,Medium,2,High School,Near,67
